hsa-let-7a,MIMAT0000062
hsa-let-7a-3p,MIMAT0004481
hsa-let-7a-2-3p,MIMAT0010195
hsa-let-7b,MIMAT0000063
hsa-let-7b-3p,MIMAT0004482
hsa-let-7c,MIMAT0000064
hsa-let-7c-3p,MIMAT0004483
hsa-let-7d,MIMAT0000065
hsa-let-7d-3p,MIMAT0004484
hsa-let-7e,MIMAT0000066
hsa-let-7e-3p,MIMAT0004485
hsa-let-7f,MIMAT0000067
hsa-let-7f-1-3p,MIMAT0004486
hsa-let-7f-2-3p,MIMAT0004487
hsa-let-7g,MIMAT0000414
hsa-let-7g-3p,MIMAT0004584
hsa-let-7i,MIMAT0000415
hsa-let-7i-3p,MIMAT0004585
hsa-miR-1,MIMAT0000416
hsa-miR-100,MIMAT0000098
hsa-miR-100-3p,MIMAT0004512
hsa-miR-101,MIMAT0000099
hsa-miR-101-3p,MIMAT0004513
hsa-miR-103,MIMAT0000101
hsa-miR-103-2-3p,MIMAT0009196
hsa-miR-103-as,MIMAT0007402
hsa-miR-105,MIMAT0000102
hsa-miR-105-3p,MIMAT0004516
hsa-miR-106a,MIMAT0000103
hsa-miR-106a-3p,MIMAT0004517
hsa-miR-106b,MIMAT0000680
hsa-miR-106b-3p,MIMAT0004672
hsa-miR-107,MIMAT0000104
hsa-miR-10a,MIMAT0000253
hsa-miR-10a-3p,MIMAT0004555
hsa-miR-10b,MIMAT0000254
hsa-miR-10b-3p,MIMAT0004556
hsa-miR-1178,MIMAT0005823
hsa-miR-1179,MIMAT0005824
hsa-miR-1180,MIMAT0005825
hsa-miR-1181,MIMAT0005826
hsa-miR-1182,MIMAT0005827
hsa-miR-1183,MIMAT0005828
hsa-miR-1184,MIMAT0005829
hsa-miR-1185,MIMAT0005798
hsa-miR-1193,MIMAT0015049
hsa-miR-1197,MIMAT0005955
hsa-miR-1200,MIMAT0005863
hsa-miR-1202,MIMAT0005865
hsa-miR-1203,MIMAT0005866
hsa-miR-1204,MIMAT0005868
hsa-miR-1205,MIMAT0005869
hsa-miR-1206,MIMAT0005870
hsa-miR-1207-3p,MIMAT0005872
hsa-miR-1207-5p,MIMAT0005871
hsa-miR-1208,MIMAT0005873
hsa-miR-122,MIMAT0000421
hsa-miR-122-3p,MIMAT0004590
hsa-miR-1224-3p,MIMAT0005459
hsa-miR-1224-5p,MIMAT0005458
hsa-miR-1225-3p,MIMAT0005573
hsa-miR-1225-5p,MIMAT0005572
hsa-miR-1226,MIMAT0005577
hsa-miR-1226-3p,MIMAT0005576
hsa-miR-1227,MIMAT0005580
hsa-miR-1228,MIMAT0005583
hsa-miR-1228-3p,MIMAT0005582
hsa-miR-1229,MIMAT0005584
hsa-miR-1231,MIMAT0005586
hsa-miR-1233,MIMAT0005588
hsa-miR-1234,MIMAT0005589
hsa-miR-1236,MIMAT0005591
hsa-miR-1237,MIMAT0005592
hsa-miR-1238,MIMAT0005593
hsa-miR-124,MIMAT0000422
hsa-miR-124-3p,MIMAT0004591
hsa-miR-1243,MIMAT0005894
hsa-miR-1244,MIMAT0005896
hsa-miR-1245,MIMAT0005897
hsa-miR-1246,MIMAT0005898
hsa-miR-1247,MIMAT0005899
hsa-miR-1248,MIMAT0005900
